scrapeDatetime,url,price,addressline1,addressline2,po,mls,bedrooms,totalbedrooms,bathrooms,propertyType,BuildingType,storeys,communityName,title,landSize,Builtin,parkingType,publishTime,PriceHistory,totalFinishedArea,appliancesIncluded,foundationType,style,architectureStyle,basementType,po4,po3,CAGR
"03/18/2022, 21:14:29",https://www.realtor.ca/real-estate/24137487/45-lovat-crescent-new-glasgow-new-glasgow,419900,45 Lovat Crescent,"New Glasgow, Nova Scotia B2H0B1",B2H0B1,MLS  Number: 202204094,2,3,3,Single Family,House,1,New Glasgow,Freehold,under 1/2 acre,2007,,5 days,"Aug 15, 2012 Sold $276,000",2700,"Range - Electric, Dishwasher, Dryer, Washer, Garburator, Refrigerator",Poured Concrete,Detached,Character,,B2H0,B2H,0.042854403
"03/18/2022, 21:15:26",https://www.realtor.ca/real-estate/24132791/38-soaring-way-hammonds-plains-hammonds-plains,775000,38 Soaring Way,"Hammonds Plains, Nova Scotia B3Z0S4",B3Z0S4,MLS  Number: 202204037,3,4,4,Single Family,House,2,Hammonds Plains,Freehold,1/2 - 1 acre,,"Garage, Attached Garage",7 days,"Mar 18, 2021 Sold $536,158",2900,"Range - Electric, Dishwasher, Dryer - Electric, Washer, Microwave, Refrigerator",Poured Concrete,Detached,,Full (Finished),B3Z0,B3Z,0.445469433
"03/18/2022, 21:16:05",https://www.realtor.ca/real-estate/24132969/231-southgate-drive-bedford-bedford,819900,231 Southgate Drive,"Bedford, Nova Scotia B4A4L2",B4A4L2,MLS  Number: 202204043,4,4,4,Single Family,House,2,Bedford,Freehold,under 1/2 acre,2005,"Garage, Attached Garage",7 days,"Jun 28, 2007 Sold $395,000",3116,"Oven - Electric, Range - Electric, Dishwasher, Dryer, Washer, Microwave Range Hood Combo, Refrigerator",Poured Concrete,Detached,,,B4A4,B4A,0.049891096
"03/18/2022, 21:16:26",https://www.realtor.ca/real-estate/24132663/50-west-porters-lake-road-porters-lake-porters-lake,345000,50 West Porters Lake Road,"Porters Lake, Nova Scotia B3R1K2",B3R1K2,MLS  Number: 202204035,3,3,1,Single Family,House,1,Porters Lake,Freehold,under 1/2 acre,1982,Gravel,7 days,"Jun 15, 2010 Sold $169,000",1653,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,Character,Full (Partially finished),B3R1,B3R,0.061274427
"03/18/2022, 21:18:47",https://www.realtor.ca/real-estate/24132126/41-peter-court-eastern-passage-eastern-passage,279900,41 Peter Court,"Eastern Passage, Nova Scotia B3G1S9",B3G1S9,MLS  Number: 202204032,0,3,2,Single Family,House,1,Eastern Passage,Freehold,under 1/2 acre,2002,,7 days,,1440,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Semi-detached,,,B3G1,B3G,0
"03/18/2022, 21:19:46",https://www.realtor.ca/real-estate/24132662/1437-10-highway-cookville-cookville,329900,1437 10 Highway,"Cookville, Nova Scotia B4V7R5",B4V7R5,MLS  Number: 202204034,2,2,1,Single Family,House,1,Cookville,Freehold,1 - 3 acres,2002,Gravel,7 days,"Jul 17, 2005 Sold $110,000",1060,"Stove, Dryer, Washer, Refrigerator",,Detached,,None,B4V7,B4V,0.066739099
"03/18/2022, 21:20:40",https://www.realtor.ca/real-estate/24131886/5-parkstone-terrace-dartmouth-dartmouth,279000,5 Parkstone Terrace,"Dartmouth, Nova Scotia B3A1T3",B3A1T3,MLS  Number: 202204021,2,2,1,Single Family,House,1,Dartmouth,Freehold,under 1/2 acre,,,7 days,,815,"Stove, Refrigerator",Concrete Block,Detached,Character,Full (Unfinished),B3A1,B3A,0
"03/18/2022, 21:36:24",https://www.realtor.ca/real-estate/24131885/9273-highway-10-nictaux-nictaux,185000,9273 Highway 10,"Nictaux, Nova Scotia B0S1P0",B0S1P0,MLS  Number: 202204020,2,2,1,Single Family,House,2,Nictaux,Freehold,under 1/2 acre,1932,Gravel,7 days,"Aug 31, 2011 Sold $73,500",920,"Range - Electric, Dishwasher, Washer/Dryer Combo, Refrigerator",Poured Concrete,Detached,5 Level,,B0S1,B0S,0.087536985
"03/18/2022, 21:37:25",https://www.realtor.ca/real-estate/24131884/1046-evanston-road-cleveland-cleveland,139900,1046 Evanston Road,"Cleveland, Nova Scotia B0E1J0",B0E1J0,MLS  Number: 202204018,2,2,1,Single Family,Mobile Home,1,Cleveland,Freehold,under 1/2 acre,,,7 days,"Mar 29, 2019 Sold $60,000",704,"Stove, Dryer, Washer, Microwave Range Hood Combo, Refrigerator",,,,None,B0E1,B0E,0.326036529
"03/18/2022, 21:38:23",https://www.realtor.ca/real-estate/24131720/506-martin-avenue-new-glasgow-new-glasgow,299900,506 Martin Avenue,"New Glasgow, Nova Scotia B2H1R9",B2H1R9,MLS  Number: 202204016,3,3,2,Single Family,House,1,New Glasgow,Freehold,under 1/2 acre,1971,,7 days,"Apr 19, 2016 Sold $104,900",1483,,Poured Concrete,Detached,Character,Full (Partially finished),B2H1,B2H,0.19133389
"03/18/2022, 21:39:50",https://www.realtor.ca/real-estate/24131262/24-trout-run-spryfield-spryfield,489900,24 Trout Run,"Spryfield, Nova Scotia B3R0C4",B3R0C4,MLS  Number: 202203982,3,4,4,Single Family,House,2,Spryfield,Freehold,under 1/2 acre,2018,,7 days,"Jan 29, 2018 Sold $284,900",2261,"Oven - Electric, Dishwasher, Dryer - Electric, Washer, Microwave Range Hood Combo, Refrigerator",Poured Concrete,Semi-detached,3 Level,Full (Finished),B3R0,B3R,0.145127245
"03/18/2022, 21:42:10",https://www.realtor.ca/real-estate/24131260/398-crown-drive-halifax-halifax,425000,398 Crown Drive,"Halifax, Nova Scotia B3N0B7",B3N0B7,MLS  Number: 202203980,3,4,3,Single Family,House,2,Halifax,Freehold,under 1/2 acre,1993,Gravel,7 days,"Jun 1, 2017 Sold $284,000",2000,"Oven - Electric, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Semi-detached,,Full (Finished),B3N0,B3N,0.083962151
"03/18/2022, 21:43:09",https://www.realtor.ca/real-estate/24130823/582a-herring-cove-road-halifax-halifax,549900,582A Herring Cove Road,"Halifax, Nova Scotia B3R1X6",B3R1X6,MLS  Number: 202203977,3,4,4,Single Family,House,2,Halifax,Freehold,under 1/2 acre,,,7 days,,2204,"Stove, Dishwasher, Dryer, Washer, Microwave, Refrigerator",Poured Concrete,Semi-detached,,Full (Finished),B3R1,B3R,0
"03/18/2022, 21:43:59",https://www.realtor.ca/real-estate/24130822/86-skyridge-avenue-lower-sackville-lower-sackville,279900,86 Skyridge Avenue,"Lower Sackville, Nova Scotia B4C1R2",B4C1R2,MLS  Number: 202203975,3,3,2,Single Family,House,1,Lower Sackville,Freehold,under 1/2 acre,,,7 days,,1048,"Stove, Dryer, Washer, Refrigerator",Poured Concrete,Detached,Character,Full (Partially finished),B4C1,B4C,0
"03/18/2022, 21:44:33",https://www.realtor.ca/real-estate/24130543/489-little-harbour-road-little-harbour-little-harbour,359900,489 Little Harbour Road,"Little Harbour, Nova Scotia B0J2L0",B0J2L0,MLS  Number: 202203972,2,3,2,Single Family,House,1,Little Harbour,Freehold,1/2 - 1 acre,1983,"Garage, Gravel",7 days,"Apr 18, 2007 Sold $79,900",2460,Central Vacuum,Poured Concrete,Detached,Character,,B0J2,B0J,0.105543082
"03/18/2022, 21:46:26",https://www.realtor.ca/real-estate/24130544/45-cortland-crescent-kentville-kentville,525000,45 Cortland Crescent,"Kentville, Nova Scotia B4N4X4",B4N4X4,MLS  Number: 202203973,2,4,4,Single Family,House,2,Kentville,Freehold,1 - 3 acres,1990,"Garage, Attached Garage",7 days,"Jul 11, 2008 Sold $299,000",3681,"Central Vacuum, Stove, Dishwasher, Dryer, Washer, Freezer - Chest, Microwave Range Hood Combo, Refrigerator",Poured Concrete,Detached,3 Level,Full (Finished),B4N4,B4N,0.04103046
"03/18/2022, 21:47:09",https://www.realtor.ca/real-estate/24130542/32-hayden-drive-drive-berwick-berwick,349900,32 Hayden Drive Drive,"Berwick, Nova Scotia B0P1E0",B0P1E0,MLS  Number: 202203971,4,4,3,Single Family,House,2,Berwick,Freehold,under 1/2 acre,,"Garage, Attached Garage",7 days,"Feb 20, 2002 Sold $100,000",1934,,Poured Concrete,Detached,4 Level,,B0P1,B0P,0.064626316
"03/18/2022, 22:20:49",https://www.realtor.ca/real-estate/24129276/307-5959-spring-garden-road-halifax-halifax,375000,307 5959 Spring Garden Road,"Halifax, Nova Scotia B3H1Y5",B3H1Y5,MLS  Number: 202203966,3,3,2,Single Family,Apartment,1,Halifax,Condominium/Strata,under 1/2 acre,,"Garage, Underground",8 days,"Jan 20, 2017 Sold $208,000",1300,"Stove, Dishwasher, Refrigerator",Poured Concrete,,,None,B3H1,B3H,0.125106378
"03/18/2022, 22:21:22",https://www.realtor.ca/real-estate/24129277/4-pine-grove-lane-waverley-waverley,595000,4 Pine Grove Lane,"Waverley, Nova Scotia B2R1P9",B2R1P9,MLS  Number: 202203967,3,3,2,Single Family,House,2,Waverley,Freehold,1/2 - 1 acre,1999,"Garage, Gravel",8 days,,1741,"Oven, Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,Full (Unfinished),B2R1,B2R,0
"03/18/2022, 22:21:50",https://www.realtor.ca/real-estate/24128608/11-rogers-road-nictaux-nictaux,374900,11 Rogers Road,"Nictaux, Nova Scotia B0S1P0",B0S1P0,MLS  Number: 202203962,3,4,2,Single Family,House,1,Nictaux,Freehold,under 1/2 acre,1993,"Garage, Detached Garage",8 days,"Apr 30, 2004 Sold $141,500",2400,"Dishwasher, Microwave Range Hood Combo, Water softener",Poured Concrete,Detached,,,B0S1,B0S,0.055622974
"03/18/2022, 22:23:19",https://www.realtor.ca/real-estate/24128606/8-valkyrie-crescent-dartmouth-dartmouth,249900,8 Valkyrie Crescent,"Dartmouth, Nova Scotia B2W5B6",B2W5B6,MLS  Number: 202203958,3,3,2,Single Family,House,2,Dartmouth,Freehold,under 1/2 acre,1983,,8 days,"Oct 22, 2015 Sold $165,000",1794,"Oven, Range, Dryer, Washer, Microwave, Refrigerator",Poured Concrete,Semi-detached,,Full (Finished),B2W5,B2W,0.06109585
"03/18/2022, 22:25:01",https://www.realtor.ca/real-estate/24128609/34123414-albert-street-north-end-north-end,650000,3412/3414 Albert Street,"North End, Nova Scotia B3K3N2",B3K3N2,MLS  Number: 202203963,5,5,2,Single Family,Duplex,2,North End,Freehold,under 1/2 acre,1922,"Garage, Detached Garage",8 days,"Aug 1, 2018 Sold $326,900",2393,"Oven - Electric, Dishwasher, Dryer - Electric, Washer, Refrigerator",Poured Concrete,,,Full (Finished),B3K3,B3K,0.187475366
"03/18/2022, 22:25:32",https://www.realtor.ca/real-estate/24128607/7-pinehaven-drive-halifax-halifax,949900,7 Pinehaven Drive,"Halifax, Nova Scotia B3P1Y9",B3P1Y9,MLS  Number: 202203960,2,2,2,Single Family,House,2,Halifax,Freehold,under 1/2 acre,1951,,8 days,,2357,"Gas stove(s), Dishwasher, Dryer, Washer, Freezer, Refrigerator",Poured Concrete,Detached,,Full (Partially finished),B3P1,B3P,0
"03/18/2022, 22:26:56",https://www.realtor.ca/real-estate/24128223/841-planes-view-drive-greenwood-greenwood,380000,841 Planes View Drive,"Greenwood, Nova Scotia B0P1R0",B0P1R0,MLS  Number: 202203946,3,5,3,Single Family,House,1,Greenwood,Freehold,1/2 - 1 acre,1994,,8 days,"Jul 5, 2018 Sold $224,500",2430,"Dishwasher, Central Vacuum",Poured Concrete,Detached,,"Full, Partial",B0P1,B0P,0.140622181
"03/18/2022, 22:27:33",https://www.realtor.ca/real-estate/24128221/231-acadia-street-new-glasgow-new-glasgow,324900,231 Acadia Street,"New Glasgow, Nova Scotia B2H4G7",B2H4G7,MLS  Number: 202203944,3,3,3,Single Family,House,2,New Glasgow,Freehold,under 1/2 acre,,Gravel,8 days,,2496,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,Full (Partially finished),B2H4,B2H,0
"03/18/2022, 22:27:57",https://www.realtor.ca/real-estate/24126260/10-mccarthy-street-dartmouth-dartmouth,525000,10 McCarthy Street,"Dartmouth, Nova Scotia B2X2Y4",B2X2Y4,MLS  Number: 202203898,3,3,2,Single Family,House,3,Dartmouth,Freehold,under 1/2 acre,1980,,8 days,,2402,,Poured Concrete,Detached,,Crawl space,B2X2,B2X,0
"03/18/2022, 22:46:04",https://www.realtor.ca/real-estate/24126053/29-bonita-drive-dartmouth-dartmouth,450000,29 Bonita Drive,"Dartmouth, Nova Scotia B2X3X2",B2X3X2,MLS  Number: 202203892,3,3,2,Single Family,House,1,Dartmouth,Freehold,under 1/2 acre,1986,"Garage, Attached Garage",8 days,,1996,"Range - Electric, Dishwasher, Dryer, Washer, Refrigerator, Central Vacuum",Poured Concrete,Detached,,Full (Finished),B2X3,B2X,0
"03/19/2022, 00:12:25",https://www.realtor.ca/real-estate/24126257/68-melrose-avenue-halifax-halifax,399900,68 Melrose Avenue,"Halifax, Nova Scotia B3N2E4",B3N2E4,MLS  Number: 202203894,6,6,2,Single Family,Duplex,2,Halifax,Freehold,under 1/2 acre,,"Garage, Attached Garage",8 days,,2390,,Poured Concrete,Up and down,,Crawl space,B3N2,B3N,0
"03/19/2022, 00:13:40",https://www.realtor.ca/real-estate/24126259/55-concorde-way-enfield-enfield,350000,55 Concorde Way,"Enfield, Nova Scotia B2T0R3",B2T0R3,MLS  Number: 202203897,3,3,4,Single Family,House,2,Enfield,Freehold,under 1/2 acre,2020,"Garage, Attached Garage",8 days,,1886,"Stove, Dryer, Washer, Refrigerator",Poured Concrete,Semi-detached,2 Level,,B2T0,B2T,0
"03/19/2022, 00:14:34",https://www.realtor.ca/real-estate/24125886/1039-riverside-drive-lower-sackville-lower-sackville,329000,1039 Riverside Drive,"Lower Sackville, Nova Scotia B4C1B3",B4C1B3,MLS  Number: 202203879,3,4,2,Single Family,House,1,Lower Sackville,Freehold,under 1/2 acre,1964,,8 days,"Jul 17, 2017 Sold $216,000",1810,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,2 Level,,B4C1,B4C,0.087798434
"03/19/2022, 00:15:06",https://www.realtor.ca/real-estate/24125887/58-sawmill-crescent-middle-sackville-middle-sackville,439900,58 Sawmill Crescent,"Middle Sackville, Nova Scotia B4E3M5",B4E3M5,MLS  Number: 202203881,3,4,3,Single Family,House,2,Middle Sackville,Freehold,under 1/2 acre,2005,"Garage, Attached Garage",8 days,,2189,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,,B4E3,B4E,0
"03/19/2022, 00:16:00",https://www.realtor.ca/real-estate/24125797/302-118-farnham-gate-road-rockingham-rockingham,294900,302 118 Farnham Gate Road,"Rockingham, Nova Scotia B3M3Z9",B3M3Z9,MLS  Number: 202203871,2,2,2,Single Family,Apartment,1,Rockingham,Condominium/Strata,under 1/2 acre,1986,,8 days,"May 1, 2018 Sold $165,000",1033,"Oven, Range, Dryer, Washer, Microwave, Refrigerator",Concrete Slab,,,None,B3M3,B3M,0.156239248
"03/19/2022, 00:16:30",https://www.realtor.ca/real-estate/24125793/85-basinview-drive-bedford-bedford,599900,85 Basinview Drive,"Bedford, Nova Scotia B4A4K7",B4A4K7,MLS  Number: 202203866,3,5,4,Single Family,House,2,Bedford,Freehold,under 1/2 acre,2003,"Garage, Attached Garage",8 days,"Dec 20, 2017 Sold $425,000",3100,"Cooktop - Propane, Oven - Electric, Dishwasher, Dryer, Washer, Microwave, Refrigerator",Poured Concrete,Detached,,,B4A4,B4A,0.071366312
"03/19/2022, 00:16:57",https://www.realtor.ca/real-estate/24125796/42-atholea-drive-dartmouth-dartmouth,489900,42 Atholea Drive,"Dartmouth, Nova Scotia B2V1C5",B2V1C5,MLS  Number: 202203870,2,3,1,Single Family,House,1,Dartmouth,Freehold,under 1/2 acre,1991,,8 days,"Aug 15, 2011 Sold $212,500",1834,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Concrete Block,Detached,,,B2V1,B2V,0.078889923
"03/19/2022, 00:17:30",https://www.realtor.ca/real-estate/24125884/104-5389-victoria-road-halifax-halifax,349000,104 5389 Victoria Road,"Halifax, Nova Scotia B3H1M4",B3H1M4,MLS  Number: 202203876,3,3,2,Single Family,Apartment,3,Halifax,Condominium/Strata,under 1/2 acre,1919,Gravel,8 days,"Dec 18, 2015 Sold $201,000",1029,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,,3 Level,Unknown,B3H1,B3H,0.082013718
"03/19/2022, 00:17:58",https://www.realtor.ca/real-estate/24125888/2048-shore-road-eastern-passage-eastern-passage,399900,2048 Shore Road,"Eastern Passage, Nova Scotia B3G1H5",B3G1H5,MLS  Number: 202203884,2,2,1,Single Family,House,2,Eastern Passage,Freehold,under 1/2 acre,1960,,8 days,,1050,"Stove, Dishwasher, Dryer, Washer, Microwave, Refrigerator",,Detached,,Full,B3G1,B3G,0
"03/19/2022, 00:19:07",https://www.realtor.ca/real-estate/24125885/74-inspector-court-halifax-halifax,499900,74 Inspector Court,"Halifax, Nova Scotia B3R0A7",B3R0A7,MLS  Number: 202203877,3,3,4,Single Family,House,2,Halifax,Freehold,under 1/2 acre,2012,,8 days,"Mar 28, 2012 Sold $240,900",1937,"Stove, Dishwasher, Dryer - Electric, Washer, Refrigerator",Poured Concrete,Detached,,,B3R0,B3R,0.075733352
"03/24/2022, 15:00:18",https://www.realtor.ca/real-estate/24111104/198-highway-224-shubenacadie-shubenacadie,379000,198 Highway 224,"Shubenacadie, Nova Scotia B0N2H0",B0N2H0,MLS  Number: 202203605,2,3,3,Single Family,House,1,Shubenacadie,Freehold,1 - 3 acres,,Gravel,17 days,"Jul 11, 2014 Sold $212,000",2528,"Oven - Propane, Range - Gas, Dishwasher, Washer, Refrigerator, Gas stove(s)",Poured Concrete,Detached,Character,Full,B0N2,B0N,0.075320483
"03/24/2022, 15:00:51",https://www.realtor.ca/real-estate/24111344/860-addington-forks-road-addington-forks-addington-forks,399000,860 Addington Forks Road,"Addington Forks, Nova Scotia B2G2K8",B2G2K8,MLS  Number: 202203612,4,4,1,Single Family,House,1,Addington Forks,Freehold,1 - 3 acres,,"Garage, Detached Garage",17 days,,1159,"Range, Dishwasher, Dryer, Washer, Refrigerator",,Detached,,None,B2G2,B2G,0
"03/24/2022, 15:02:01",https://www.realtor.ca/real-estate/24111346/1251-alma-road-scotsburn-scotsburn,189000,1251 Alma Road,"Scotsburn, Nova Scotia B0K1H0",B0K1H0,MLS  Number: 202203614,3,3,2,Single Family,Mobile Home,1,Scotsburn,Freehold,3 - 10 acres,2019,Gravel,17 days,,1088,"Oven, Dishwasher, Dryer, Washer, Refrigerator",,,Mini,None,B0K1,B0K,0
"03/24/2022, 15:04:50",https://www.realtor.ca/real-estate/24110990/510-main-street-lawrencetown-lawrencetown,649999,510 Main Street,"Lawrencetown, Nova Scotia B0S1M0",B0S1M0,MLS  Number: 202203598,6,6,3,Single Family,House,3,Lawrencetown,Freehold,1 - 3 acres,,"Garage, Detached Garage",17 days,"Aug 31, 2001 Sold $185,000",3820,,Stone,Detached,,Full (Unfinished),B0S1,B0S,0.061665402
"03/24/2022, 15:05:56",https://www.realtor.ca/real-estate/24110917/72-sunset-drive-kingston-kingston,240000,72 Sunset Drive,"Kingston, Nova Scotia B0P1R0",B0P1R0,MLS  Number: 202203593,3,3,2,Single Family,House,1,Kingston,Freehold,1/2 - 1 acre,1996,,17 days,,1753,"Stove, Dryer, Washer, Microwave Range Hood Combo, Fridge/Stove Combo",Poured Concrete,Detached,Character,Full (Partially finished),B0P1,B0P,0
"03/24/2022, 15:08:00",https://www.realtor.ca/real-estate/24110992/12163-highway-2-lower-onslow-lower-onslow,239000,12163 Highway 2,"Lower Onslow, Nova Scotia B0M1C0",B0M1C0,MLS  Number: 202203600,2,3,1,Single Family,House,1,Lower Onslow,Freehold,under 1/2 acre,1950,"Garage, Detached Garage",17 days,,768,"Dryer, Washer","Concrete Block, Poured Concrete",Detached,Character,,B0M1,B0M,0
"03/24/2022, 15:11:41",https://www.realtor.ca/real-estate/24110623/271-heselton-drive-ostrea-lake-ostrea-lake,599900,271 Heselton Drive,"Ostrea Lake, Nova Scotia B0J2L0",B0J2L0,MLS  Number: 202203589,3,3,2,Single Family,House,1,Ostrea Lake,Freehold,3 - 10 acres,2019,"Garage, Attached Garage, Gravel",17 days,,1924,"Range - Electric, Dishwasher, Dryer, Washer, Microwave Range Hood Combo, Refrigerator",Concrete Slab,Detached,Character,None,B0J2,B0J,0
"03/24/2022, 15:42:34",https://www.realtor.ca/real-estate/24110295/39-danforth-road-halifax-halifax,399000,39 Danforth Road,"Halifax, Nova Scotia B3P2V1",B3P2V1,MLS  Number: 202203574,4,4,2,Single Family,House,2,Halifax,Freehold,under 1/2 acre,2009,,17 days,,1552,"Stove, Dishwasher, Dryer - Electric, Washer, Microwave Range Hood Combo, Refrigerator",Poured Concrete,Semi-detached,,None,B3P2,B3P,0
"03/24/2022, 15:48:00",https://www.realtor.ca/real-estate/24110344/1688-shore-road-eastern-passage-eastern-passage,289900,1688 Shore Road,"Eastern Passage, Nova Scotia B3G1G2",B3G1G2,MLS  Number: 202203578,3,3,2,Single Family,House,2,Eastern Passage,Freehold,under 1/2 acre,1991,Parking Space(s),17 days,,1244,"Stove, Dryer, Washer, Refrigerator",Concrete Slab,Semi-detached,,None,B3G1,B3G,0
"03/24/2022, 16:13:26",https://www.realtor.ca/real-estate/24110293/304-93-kearney-lake-road-halifax-halifax,249900,304 93 Kearney Lake Road,"Halifax, Nova Scotia B3M4E7",B3M4E7,MLS  Number: 202203572,2,2,1,Single Family,Apartment,1,Halifax,Condominium/Strata,,1988,,17 days,"Feb 18, 2021 Sold $210,500",937,"Stove, Dishwasher, Dryer, Washer, Microwave Range Hood Combo, Refrigerator, Intercom",Poured Concrete,,,Full (Finished),B3M4,B3M,0.187173397
"03/25/2022, 09:23:52",https://www.realtor.ca/real-estate/24103897/4320-brooklyn-street-somerset-somerset,299900,4320 Brooklyn Street,"Somerset, Nova Scotia B0P1E0",B0P1E0,MLS  Number: 202203490,2,2,2,Single Family,House,2,Somerset,Freehold,under 1/2 acre,1873,Gravel,20 days,,3650,,Stone,Detached,,Crawl space,B0P1,B0P,0
"03/26/2022, 00:47:43",https://www.realtor.ca/real-estate/24103461/198-rockcliffe-drive-enfield-enfield,649900,198 Rockcliffe Drive,"Enfield, Nova Scotia B2T0G7",B2T0G7,MLS  Number: 202203487,2,3,3,Single Family,House,1,Enfield,Freehold,3 - 10 acres,2021,Gravel,21 days,"Dec 4, 2020 Sold $397,091",2700,"Oven - Propane, Dishwasher, Dryer - Electric, Washer, Refrigerator",Poured Concrete,Detached,Character,Full,B2T0,B2T,0.279317222
